Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Адрес ВСП/ПВЗ|Режим работы ВСП/ПВЗ
8618/0166|2020-09-28 03:14:26|г Ижевск,улица Восточная, дом 8А|ПН-ПТ 09:30-19:00, СБ-ВС выходной
8618/0167|2020-09-28 03:14:26|г Ижевск,улица 10 лет Октября, дом 23|ПН-ПТ 09:30-18:30, СБ-ВС выходной
8618/0168|2020-11-03 09:55:58|Республика Удмуртская, п Игра,улица Советская, дом 37|ПН-ПТ 08:30-16:45, СБ 09:00-13:00, ВС выходной
8618/0175|2021-06-07 13:59:11|Республика Удмуртская, с Дебесы,улица Советская, дом 80|ПН-ПТ 08:00-16:30, СБ-ВС выходной
8618/0176|2020-11-03 09:55:58|Республика Удмуртская, п Игра, мкр Нефтяников, дом 30|ПН-ПТ 09:30-17:45, СБ-ВС выходной
8618/0182|2020-11-03 09:55:59|Республика Удмуртская,город Сарапул,улица Азина, дом 33|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной
8618/0183|2021-02-01 14:11:39|Республика Удмуртская,город Сарапул,улица Ленина, дом 1|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8618/0187|2021-08-17 12:37:16|Республика Удмуртская, с Сигаево,улица Советская, дом 71|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8618/0190|2020-11-03 09:55:59|Республика Удмуртская,город Сарапул,улица Советская, дом 59В|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8618/0195|2020-11-03 09:55:59|Республика Удмуртская,город Сарапул,улица Электрозаводская, дом 1|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8618/0196|2020-11-03 09:55:59|Республика Удмуртская,город Сарапул,улица Раскольникова, дом 152Б|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8618/0197|2021-06-07 13:59:11|Республика Удмуртская, с Каракулино,улица Каманина, дом 15|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8618/0203|2021-06-07 13:59:11|Республика Удмуртская, с Киясово,улица Советская, зд 2|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8618/0204|2020-11-03 09:55:59|Республика Удмуртская,город Сарапул,улица 20 лет Победы, дом 1А|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8618/0206|2021-02-24 17:08:52|Республика Удмуртская,город Камбарка,улица Ленина, дом 60|ПН-ПТ 08:30-18:00, СБ 08:30-11:30, ВС выходной
8618/0213|2021-08-17 12:37:16|Республика Удмуртская,город Воткинск,улица Спорта, дом 8|ПН-ПТ 09:00-18:30, СБ 09:00-13:30, ВС выходной
8618/0218|2020-11-03 09:55:59|Республика Удмуртская,город Воткинск,улица Победы, дом 7|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8618/0219|2020-11-03 09:55:59|Республика Удмуртская,город Воткинск,улица Мира, дом 25|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8618/0220|2021-08-17 12:37:16|Республика Удмуртская,город Воткинск,улица Курчатова, дом 10|ПН-ПТ 09:00-18:00, СБ-ВС выходной
