Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Адрес ВСП/ПВЗ|Режим работы ВСП/ПВЗ
8598/0736|2021-02-24 17:08:58|Республика Башкортостан,город Баймак, проспект С.Юлаева, дом 32|ПН-ПТ 08:45-18:00, СБ 09:00-14:00, ВС выходной
8598/0749|2021-12-13 14:16:30|Республика Башкортостан, с Зилаир,улица Ленина, дом 113|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8598/0754|2021-02-15 13:08:55|Республика Башкортостан, с Акъяр,улица Акмуллы, дом 3А|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8598/0762|2021-09-21 12:25:18|Республика Башкортостан,город Сибай, проспект Горняков, дом 11|ПН-ПТ 08:30-18:00, СБ-ВС выходной
8598/0763|2021-09-21 12:25:18|Республика Башкортостан,город Сибай,улица Белова, дом 40|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8598/0764|2021-05-12 12:42:29|Республика Башкортостан,город Мелеуз,улица Смоленская, дом 30|ПН-ПТ 09:00-18:30, СБ 09:00-15:00, ВС выходной
8598/0765|2021-12-13 14:16:30|Республика Башкортостан,город Мелеуз,улица Ленина, дом 37|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8598/0768|2021-09-21 12:25:18|Республика Башкортостан,город Мелеуз,улица Смоленская, дом 35|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8598/0769|2021-09-21 12:25:18|Республика Башкортостан,город Мелеуз,улица Ленина, дом 133|ПН-ПТ 08:30-18:00, СБ-ВС выходной
8598/0775|2021-10-27 09:11:24|Республика Башкортостан, с Федоровка,улица Ленина, дом 40|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8598/0781|2021-02-15 13:08:58|Республика Башкортостан,город Нефтекамск,улица Карла Маркса, дом 11|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8598/0782|2021-08-17 12:35:27|Республика Башкортостан,город Белебей,улица Войкова, дом 115|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8598/0783|2021-09-21 12:27:11|Республика Башкортостан,город Кумертау,улица Гафури, дом 25|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8598/0788|2020-09-28 03:14:23|Республика Башкортостан,город Стерлитамак,улица Худайбердина, влд 46|ПН-ПТ 09:00-18:30, СБ 09:30-12:30, ВС выходной
8598/0790|2021-12-13 14:16:29|Республика Башкортостан,город Белебей,улица Красная, дом 138|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8598/0791|2021-02-15 13:08:56|Республика Башкортостан,город Салават,улица Островского, дом 8|ПН-ПТ 09:00-19:00, СБ 09:30-15:00, ВС выходной
8599/01|2021-06-07 13:59:20|г Курган,улица Куйбышева, дом 72|ПН-ПТ 09:00-17:30, СБ 09:00-13:30, ВС выходной
8599/0109|2021-09-21 12:25:18|г Курган, мкр 6-й, дом 3А|ПН-ПТ 08:30-18:00, СБ-ВС выходной
8599/0110|2021-05-12 12:41:26|г Курган,улица Чернореченская, дом 69|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8599/0111|2021-02-15 13:08:54|Курганская область, с Кетово,улица Космонавтов, дом 38|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8599/0132|2021-02-15 13:08:55|Курганская область,рабочий поселок Варгаши,улица Чкалова, дом 24|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8599/0139|2021-02-24 17:08:38|Курганская область,город Шумиха,улица Куйбышева, дом 3|ПН-ПТ 08:00-17:00, СБ 08:30-12:00, ВС выходной
8599/0148|2021-08-17 12:37:24|Курганская область, с Альменево,улица Советская, дом 12|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8599/0149|2021-05-12 12:42:29|Курганская область,рабочий поселок Мишкино,улица Ленина, дом 26|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8599/015|2021-09-21 12:25:18|г Курган,улица Рихарда Зорге, дом 54|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8599/0159|2021-02-24 17:08:38|Курганская область,город Щучье,улица Советская, дом 10|ПН-ПТ 08:00-17:00, СБ 08:30-12:30, ВС выходной
8599/0167|2021-05-12 12:42:29|Курганская область, с Сафакулево,улица Ленина, дом 8А|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8599/0168|2021-06-21 15:42:31|Курганская область,город Куртамыш,улица 22 Партсъезда, дом 28|ПН-ПТ 08:00-17:00, СБ 08:30-13:00, ВС выходной
8599/0177|2021-09-21 12:27:11|Курганская область, с Целинное,улица Советская, дом 68|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8599/0191|2021-12-13 14:19:28|Курганская область, с Звериноголовское,улица Октябрьская, дом 40|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8599/0195|2021-06-07 13:59:20|Курганская область, с Глядянское,улица Ленина, дом 91|ПН-ПТ 08:15-16:30, СБ-ВС выходной
8599/0196|2021-10-27 09:13:33|Курганская область,город Макушино,улица Красная Площадь, дом 2|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8599/0206|2021-02-24 17:08:45|Курганская область,город Петухово,улица К.Маркса, дом 30 корпус 2|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8599/0217|2021-05-12 12:42:29|Курганская область,рабочий поселок Лебяжье,улица Советская, дом 70|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8599/0220|2021-06-21 15:42:31|Курганская область, с Мокроусово,улица Советская, дом 27|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8599/0227|2021-02-15 13:08:56|Курганская область,город Шадринск,улица Свердлова, дом 86|ПН-ПТ 08:30-18:00, СБ 09:00-15:00, ВС 10:00-14:00
8599/0237|2021-09-21 12:27:11|Курганская область, Каргапольский район ,рабочий поселок Каргаполье,улица Клубная, дом 1А|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8599/0239|2021-06-07 13:59:20|Курганская область, с Шатрово,улица Федосеева, дом 60А|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8599/025|2021-12-13 14:16:29|г Курган,улица Гагарина, дом 36Б|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8599/0252|2021-02-15 13:08:59|Курганская область,город Далматово,улица Советская, дом 166|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8599/0269|2021-05-12 12:41:25|Курганская область,город Шадринск,улица Ефремова, дом 8|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8599/0270|2021-05-12 12:42:29|Курганская область,город Катайск,улица Ленина, дом 198|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8599/0290|2020-09-28 03:14:25|г Курган,улица Красина, дом 31|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8599/0292|2021-10-27 09:11:23|Курганская область,город Шадринск,улица Ленина, дом 93|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8599/0294|2020-09-28 03:14:25|г Курган,улица К.Маркса, дом 76|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8599/036|2021-06-21 15:41:10|г Курган,улица Куйбышева, дом 108|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8599/04|2021-05-12 12:41:25|г Курган,улица Коли Мяготина, дом 61/2|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8599/045|2020-09-28 03:14:25|г Курган,улица Гоголя, дом 103|ПН-ПТ 09:00-19:00, СБ 09:00-15:00, ВС 10:00-13:00
8599/049|2020-09-28 03:14:25|г Курган, проспект Конституции, дом 42|ПН-ПТ 09:00-17:30, СБ 09:00-13:30, ВС выходной
8599/051|2021-05-12 12:41:25|г Курган,улица Карбышева, дом 38|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8599/062|2020-09-28 03:14:25|г Курган, проспект Машиностроителей, дом 2А|ПН-ПТ 08:30-17:30, СБ 09:30-14:00, ВС выходной
8599/074|2020-09-28 03:14:25|г Курган,улица Коли Мяготина, дом 100|ПН-ПТ 09:00-18:00, СБ 09:30-13:30, ВС выходной
8599/076|2020-09-28 03:14:25|г Курган, мкр 2-й, дом 10/1|ПН-ПТ 09:00-18:30, СБ 09:00-14:30, ВС 10:00-13:30
8599/079|2020-09-28 03:14:25|г Курган, мкр 5-й, дом 31|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8599/080|2021-05-12 12:41:25|г Курган,улица Карельцева, дом 56/1|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8599/083|2021-09-21 12:27:11|г Курган,улица Гоголя, дом 98|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной
8599/084|2021-09-21 12:27:11|Курганская область, с Белозерское,улица Попова, влд 25|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8599/096|2021-08-17 12:37:24|Курганская область,рабочий поселок Юргамыш,улица Соседовой, дом 20|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8647/0102|2021-09-21 12:25:18|Тюменская область,город Тюмень,улица Московский тракт, дом 118|ПН-ПТ 09:30-18:30, СБ 10:00-17:00, ВС выходной
8647/0112|2021-05-12 12:42:29|Тюменская область,город Тюмень,улица Червишевский тракт, дом 19|ПН-ПТ 09:30-19:00, СБ 10:00-14:00, ВС выходной
8647/0113|2020-09-28 03:14:23|Тюменская область,город Тюмень,улица Моторостроителей, дом 5|ПН-ПТ 09:00-18:30, СБ 10:00-14:00, ВС выходной
8647/0118|2020-09-28 03:14:23|Тюменская область,город Тюмень,улица Мельникайте, дом 54|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8647/0119|2021-09-21 12:25:18|Тюменская область, с Нижняя Тавда,улица Мира, дом 4|ПН-ПТ 09:00-17:15, СБ-ВС выходной
8647/0137|2021-02-01 14:11:39|Тюменская область, с Ярково,улица Ленина, дом 107|ПН-ПТ 08:15-16:30, СБ-ВС выходной
8647/0155|2021-08-17 12:37:24|Тюменская область, Тюменский район ,рабочий поселок Боровский,улица Советская, дом 11|ПН выходной, ВТ-ПТ 09:00-18:00, СБ 10:00-13:00, ВС выходной
8647/0158|2021-02-01 14:11:39|Тюменская область, Тюменский район ,рабочий поселок Винзили,улица Гагарина, дом 3А|ПН выходной, ВТ-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной
8647/0170|2020-09-28 03:14:23|Тюменская область,город Тюмень,улица Республики, дом 146/2|ПН-ПТ 09:30-18:30, СБ 09:30-14:30, ВС выходной
8647/0171|2020-09-28 03:14:23|Тюменская область,город Тюмень,улица Малыгина, дом 51/3|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8647/0174|2020-09-28 03:14:23|Тюменская область,город Тюмень,улица Широтная, 171, корпус 1/1|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8647/0175|2020-09-28 03:14:23|Тюменская область,город Тюмень,улица 50 лет Октября, дом 88|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8647/0176|2020-09-28 03:14:23|Тюменская область,город Тюмень,улица Пермякова, дом 63/1|ПН-ПТ 09:00-18:30, СБ 09:30-15:30, ВС выходной
8647/0178|2020-09-28 03:14:23|Тюменская область,город Тюмень,улица Газовиков, дом 43/1|ПН-ПТ 09:00-18:30, СБ 09:00-15:00, ВС выходной
8647/0181|2020-09-28 03:14:23|Тюменская область,город Тюмень,улица Ямская, дом 75/1 корпус 75|ПН-ПТ 09:00-18:30, СБ 09:00-16:00, ВС выходной
8647/0184|2021-05-12 12:41:25|Тюменская область,город Тюмень,улица Герцена, дом 70|ПН-ПТ 09:30-18:30, СБ-ВС выходной
8647/0186|2021-05-12 12:42:29|Тюменская область,город Ишим,улица Малая Садовая, дом 76|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8647/0188|2021-12-13 14:19:28|Тюменская область,город Ишим,улица Карла Маркса, дом 62/1|ПН-ПТ 08:30-17:30, СБ 08:30-15:00, ВС выходной
8647/0189|2021-05-12 12:41:25|Тюменская область,город Ишим,улица Советская, дом 36|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8647/0199|2021-08-17 12:35:26|Тюменская область, с Большое Сорокино,улица Карбышева, дом 1Б|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8647/0200|2021-08-17 12:35:26|Тюменская область, с Викулово,улица К.Маркса, дом 28|ПН-ПТ 08:15-16:30, СБ-ВС выходной
8647/0204|2021-02-01 14:11:39|Тюменская область, с Абатское,улица Ленина, дом 26|ПН-ПТ 08:15-16:30, СБ-ВС выходной
8647/0207|2021-12-13 14:16:28|Тюменская область, с Сладково,улица Ленина, зд 90|ПН-ПТ 08:30-17:00, СБ-ВС выходной
8647/0210|2021-05-12 12:41:25|Тюменская область, с Казанское,улица Ленина, дом 6А|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8647/0216|2021-05-12 12:41:25|Тюменская область,город Заводоуковск,улица Глазуновская, дом 1|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8647/0217|2021-06-07 13:58:26|Тюменская область,город Заводоуковск,улица Шоссейная, дом 1/4|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8647/0229|2021-09-21 12:25:17|Тюменская область, с Упорово,улица Володарского, зд 33|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8647/0237|2021-02-01 14:11:40|Тюменская область,город Ялуторовск,улица Скворцова-Степанова, дом 21/2А|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8647/0240|2021-09-21 12:25:17|Тюменская область,город Ялуторовск,улица Свободы, дом 59/15|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8647/0246|2021-06-21 15:41:09|Тюменская область, с Исетское,улица Горького, зд 3|ПН-ПТ 08:00-16:00, СБ-ВС выходной
8647/026|2021-06-21 15:42:31|Тюменская область,город Тюмень,улица Беляева, дом 35 корпус 1, кв 2|ПН-ПТ 10:00-19:00, СБ 10:00-15:00, ВС выходной
8647/0260|2021-05-12 12:41:25|Тюменская область, с Омутинское,улица Первомайская, дом 81А|ПН-ПТ 08:15-16:30, СБ-ВС выходной
8647/0268|2021-05-12 12:41:25|Тюменская область, с Юргинское,улица Центральная, дом 57|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8647/0273|2021-05-12 12:41:25|Тюменская область, с Аромашево,улица Октябрьская, дом 25|ПН-ПТ 08:00-16:00, СБ-ВС выходной
8647/0276|2021-02-01 14:11:39|Тюменская область,рабочий поселок Голышманово,улица Садовая, влд 82А|ПН-ПТ 08:00-16:30, СБ-ВС выходной
8647/0286|2021-05-12 12:41:25|Тюменская область, с Бердюжье,улица Кирова, дом 11|ПН-ПТ 08:15-16:30, СБ-ВС выходной
8647/0288|2021-02-01 14:11:41|Тюменская область,город Тобольск,улица Семена Ремезова, дом 124|ПН-ПТ 08:30-18:00, СБ-ВС выходной
8647/0295|2021-05-12 12:41:25|Тюменская область,город Тобольск,улица Октябрьская, дом 50|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8647/0296|2021-02-01 14:11:41|Тюменская область,город Тобольск, мкр 4, дом 24/2|ПН-ПТ 09:00-18:30, СБ 09:00-15:30, ВС выходной
8647/0308|2021-05-12 12:41:25|Тюменская область, с Вагай,улица Крупской, дом 23/1|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8647/0315|2021-05-12 12:41:25|Тюменская область, с Уват,улица Октябрьская, дом 64А|ПН-ПТ 09:00-17:15, СБ-ВС выходной
8647/0319|2021-08-17 12:35:26|Тюменская область, Уватский район , п Туртас,улица Октябрьская, дом 19|ПН-ПТ 09:00-17:15, СБ-ВС выходной
8647/0328|2021-05-12 12:42:29|Тюменская область,город Тобольск, мкр 7, дом 30|ПН-ПТ 10:00-19:00, СБ 10:00-17:00, ВС выходной
8647/0330|2020-09-28 03:14:23|Тюменская область,город Тюмень,улица Рижская, дом 61|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8647/053|2021-05-12 12:41:25|Тюменская область,город Тюмень,улица Казачьи Луга, дом 1/2|ПН-ПТ 09:00-18:00, СБ 10:30-15:00, ВС выходной
8647/056|2020-09-28 03:14:23|Тюменская область,город Тюмень,улица Мориса Тореза, дом 1/1|ПН-ПТ 10:00-19:00, СБ 10:00-17:00, ВС выходной
8647/069|2021-05-12 12:41:25|Тюменская область,город Тюмень,улица 50 лет Октября, дом 3/6|ПН-ПТ 10:00-19:00, СБ-ВС выходной
8647/079|2021-08-17 12:35:25|Тюменская область,город Тюмень,улица Пермякова, дом 39|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8647/080|2021-06-21 15:41:09|Тюменская область,город Тюмень,улица Федюнинского, дом 67|ПН-ПТ 10:00-19:00, СБ 10:00-15:30, ВС выходной
8647/084|2021-06-21 15:41:09|Тюменская область,город Тюмень,улица Профсоюзная, дом 52|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8647/087|2020-09-28 03:14:23|Тюменская область,город Тюмень,улица Республики, дом 215|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8647/089|2020-09-28 03:14:23|Тюменская область,город Тюмень,улица Пермякова, дом 46|ПН-ПТ 10:00-19:00, СБ 10:00-14:00, ВС выходной
8647/091|2022-11-14 14:41:09|г Тюмень,улица Александра Пушкина, дом 11|ПН выходной, ВТ-ПТ 08:30-18:30, СБ 09:00-13:00, ВС выходной
8647/093|2020-09-28 03:14:23|Тюменская область,город Тюмень,улица Кирова, дом 35/1|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8647/094|2021-05-17 10:25:00|Тюменская область,город Тюмень,улица Республики, дом 133 строение а|ПН-ПТ 09:30-18:30, СБ-ВС выходной
8647/095|2020-09-28 03:14:23|Тюменская область,город Тюмень,улица Ватутина, дом 55/3|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8647/096|2020-09-28 03:14:23|Тюменская область,город Тюмень,улица Мельникайте, дом 135Б|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8586/0109|2021-06-21 15:42:31|г Иркутск, мкр Юбилейный, дом 47|ПН-ПТ 09:00-18:00, СБ 09:30-14:30, ВС выходной
8586/0110|2020-08-31 15:50:56|г Иркутск, проспект Маршала Жукова, дом 5/1|ПН-ПТ 09:30-19:00, СБ 09:30-15:30, ВС выходной
8586/0111|2020-08-31 15:50:56|г Иркутск,улица Розы Люксембург, дом 215В|ПН-ПТ 09:00-19:00, СБ 09:00-16:00, ВС выходной
8586/0114|2021-06-21 15:42:30|г Иркутск, мкр Первомайский, дом 27А|ПН-ПТ 09:30-18:30, СБ 09:30-15:30, ВС выходной
8586/0116|2021-05-12 12:42:29|г Иркутск,улица Советская, дом 73|ПН-ПТ 09:00-18:30, СБ 09:30-14:00, ВС выходной
8586/0120|2020-08-31 15:50:56|г Иркутск, мкр Университетский, дом 43|ПН-ПТ 10:00-18:30, СБ-ВС выходной
8586/0121|2020-08-31 15:50:56|г Иркутск,улица Рабочего Штаба, дом 9|ПН-ПТ 09:00-17:30, СБ 09:00-14:30, ВС выходной
8586/0123|2020-08-31 15:50:56|г Иркутск,улица Баррикад, дом 137|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8586/0128|2020-08-31 15:50:56|г Иркутск,улица Трилиссера, дом 57А|ПН-ПТ 09:00-18:00, СБ 09:00-16:00, ВС выходной
8586/0133|2020-08-31 15:50:56|г Иркутск,улица Мира, дом 100А|ПН-ПТ 09:00-18:30, СБ 10:00-14:30, ВС выходной
8586/0136|2020-08-31 15:50:56|г Иркутск,улица Дзержинского, дом 1|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8586/0139|2021-06-21 15:42:30|г Иркутск,улица Новаторов, дом 3 корп.8|ПН-ПТ 09:30-18:30, СБ-ВС выходной
8586/0145|2021-05-12 12:42:29|г Иркутск,улица Академическая, дом 18|ПН-ПТ 09:30-18:30, СБ-ВС выходной
8586/0146|2020-08-31 15:50:56|г Иркутск,улица Дзержинского, дом 27А|ПН-ПТ 09:00-18:00, СБ 10:00-16:00, ВС выходной
8586/0148|2020-08-31 15:50:56|г Иркутск,улица Лермонтова, дом 267/4|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8586/0149|2020-09-28 19:17:59|г Иркутск, бульвар Рябикова, дом 20Б|ПН-ПТ 09:00-18:00, СБ 09:30-15:30, ВС выходной
8586/0152|2021-02-24 17:08:36|Иркутская область, п Усть-Ордынский, пер Коммунальный, дом 9|ПН-ПТ 09:00-17:30, СБ 09:30-13:30, ВС выходной
8586/0154|2021-06-21 15:42:30|Иркутская область, с Баяндай,улица Бутунаева, дом 4|ПН-ПТ 09:00-17:00, СБ-ВС выходной
8586/0155|2021-06-07 13:59:20|Иркутская область,рабочий поселок Качуг,улица Победы, дом 4|ПН-ПТ 08:30-17:00, СБ-ВС выходной
8586/0156|2021-05-12 12:42:29|Иркутская область,рабочий поселок Жигалово,улица Советская, дом 46|ПН-ПТ 08:30-17:00, СБ-ВС выходной
8586/0157|2021-05-12 12:42:29|Иркутская область, п Бохан,улица Лесная, дом 8|ПН-ПТ 09:00-17:00, СБ-ВС выходной
8586/0159|2021-06-21 15:42:30|Иркутская область, с Оса,улица Свердлова, зд 55|ПН-ПТ 09:00-17:00, СБ-ВС выходной
8586/016|2020-08-31 15:50:56|г Иркутск,улица Декабрьских Событий, дом 105А|ПН-ПТ 09:00-18:30, СБ 09:30-14:00, ВС выходной
8586/0162|2021-06-21 15:42:30|Иркутская область, с Еланцы,улица Кирова, дом 18|ПН-ПТ 09:00-17:00, СБ-ВС выходной
8586/0164|2020-09-25 10:59:45|Иркутская область,город Шелехов, кв-л 8-й, дом 16|ПН-ПТ 09:00-19:00, СБ 09:00-14:00, ВС выходной
8586/0168|2020-09-25 10:59:45|Иркутская область,город Шелехов, 1 микрорайон, дом 7А|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8586/017|2020-08-31 15:50:56|г Иркутск,улица 2-я Железнодорожная, дом 78|ПН-ПТ 09:30-18:30, СБ 09:30-16:00, ВС выходной
8586/0170|2021-02-24 17:08:43|Иркутская область,город Слюдянка,улица Ленина, дом 94|ПН-ПТ 09:00-17:15, СБ 10:00-13:45, ВС выходной
8586/0172|2021-05-12 12:42:29|Иркутская область, Слюдянский район ,город Байкальск, мкр Гагарина, дом 151В|ПН-ПТ 08:30-17:00, СБ 10:00-13:30, ВС выходной
8586/0176|2021-06-21 15:42:30|Республика Бурятия, с Кырен,улица Ленина, дом 83|ПН-ПТ 09:00-17:00, СБ-ВС выходной
8586/0184|2021-06-07 13:59:20|Иркутская область,город Бодайбо,улица Урицкого, дом 20|ПН-ПТ 08:30-18:00, СБ-ВС выходной
8586/0197|2020-09-25 10:59:46|Иркутская область,город Ангарск, мкр 7, дом 25|ПН-ПТ 09:00-18:30, СБ 09:30-14:00, ВС выходной
8586/0199|2020-09-25 10:59:46|Иркутская область,город Ангарск, кв-л 94, дом 8|ПН-ПТ 09:30-18:30, СБ-ВС выходной
8586/020|2020-08-31 15:50:56|г Иркутск,улица Степана Разина, дом 27|ПН-ПТ 10:00-19:00, СБ-ВС выходной
8586/0202|2020-09-25 10:59:46|Иркутская область,город Ангарск, мкр 18, дом 19|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8586/0203|2020-09-25 10:59:46|Иркутская область,город Ангарск, кв-л 76, дом 1|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной
8586/0204|2020-09-25 10:59:46|Иркутская область,город Ангарск, Б кв-л, дом 2|ПН-ПТ 09:00-20:00, СБ 09:00-16:00, ВС выходной
8586/0206|2020-09-25 10:59:46|Иркутская область,город Ангарск, мкр 12а, дом 2|ПН-ПТ 09:30-18:30, СБ 10:00-14:00, ВС выходной
8586/0209|2021-06-21 15:42:30|Иркутская область,город Ангарск, кв-л 23, дом 11|ПН-ПТ 09:00-20:00, СБ 09:00-16:00, ВС выходной
8586/0211|2021-02-24 17:08:40|Иркутская область,город Усолье-Сибирское,улица Орджоникидзе, дом 31|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8586/0220|2021-05-12 12:42:29|Иркутская область,город Усолье-Сибирское,улица Стопани, дом 39Б|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8586/0223|2021-02-24 17:08:40|Иркутская область,город Усолье-Сибирское, проспект Красных партизан, дом 57А|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной
8586/0224|2021-06-21 15:42:30|Иркутская область,город Усолье-Сибирское, проспект Комсомольский, дом 35|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной
8586/0226|2021-02-24 17:08:40|Иркутская область,город Черемхово,улица Некрасова, дом 17|ПН-ПТ 09:00-18:00, СБ 09:00-14:30, ВС выходной
8586/0229|2021-02-24 17:08:40|Иркутская область,город Черемхово,улица Первомайская, дом 201/1|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8586/0232|2021-06-21 15:42:30|Иркутская область, п Кутулик,улица Матвеева, зд 23А|ПН-ПТ 09:00-17:15, СБ-ВС выходной
8586/0235|2021-06-21 15:42:30|Иркутская область, п Новонукутский,улица Гагарина, дом 5|ПН-ПТ 09:00-17:00, СБ-ВС выходной
8586/0236|2021-02-24 17:08:44|Иркутская область,город Свирск,улица Лермонтова, дом 2|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8586/0238|2021-05-12 12:42:28|Иркутская область,город Зима,улица Подаюрова, дом 16|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8586/0240|2021-06-21 15:42:30|Иркутская область,город Зима, пер Донской, дом 1|ПН-ПТ 09:30-18:00, СБ-ВС выходной
8586/0242|2021-05-12 12:42:28|Иркутская область,город Саянск, мкр Олимпийский, дом 27|ПН-ПТ 09:30-18:30, СБ-ВС выходной
8586/0244|2021-06-21 15:42:30|Иркутская область,город Саянск, мкр Центральный, дом 14|ПН-ПТ 09:00-18:00, СБ 09:30-12:30, ВС выходной
8586/0246|2021-06-21 15:42:30|Иркутская область,город Зима,улица Ленина, дом 2|ПН-ПТ 09:00-17:30, СБ 09:00-13:00, ВС выходной
8586/0250|2021-03-30 18:30:20|Иркутская область,рабочий поселок Залари,улица Ленина, дом 105|ПН-ПТ 08:30-17:00, СБ 09:00-14:00, ВС выходной
8586/0252|2021-06-07 13:59:20|Иркутская область,рабочий поселок Куйтун,улица Красного Октября, дом 28|ПН-ПТ 09:00-17:30, СБ 10:00-13:30, ВС выходной
8586/0262|2020-08-31 15:50:56|Иркутская область,город Братск, жилрайон Центральный, проспект Ленина, дом 35|ПН-ПТ 09:00-19:00, СБ 09:00-15:00, ВС выходной
8586/0265|2021-06-21 15:42:30|Иркутская область,город Братск, жилрайон Энергетик,улица Холоднова, дом 4|ПН-ПТ 09:30-18:30, СБ 10:00-14:30, ВС выходной
8586/0266|2020-08-31 15:50:56|Иркутская область,город Братск, жилрайон Центральный,улица Обручева, дом 5|ПН-ПТ 09:00-19:00, СБ 10:00-15:00, ВС выходной
8586/0268|2021-02-24 17:08:56|Иркутская область, Братский район ,город Вихоревка,улица Дзержинского, дом 42 литер а|ПН-ПТ 10:00-18:00, СБ-ВС выходной
8586/0270|2020-08-31 15:50:56|Иркутская область,город Братск, жилрайон Центральный,улица Крупской, дом 35А|ПН-ПТ 09:30-18:30, СБ 10:00-14:00, ВС выходной
8586/0272|2020-08-31 15:50:56|Иркутская область,город Братск, жилрайон Центральный,улица Мира, дом 31|ПН-ПТ 10:00-18:00, СБ-ВС выходной
8586/0273|2020-08-31 15:50:56|Иркутская область,город Братск, жилрайон Центральный,улица Баркова, дом 19А|ПН-ПТ 09:00-19:00, СБ 10:00-15:00, ВС выходной
8586/0276|2021-06-21 15:42:30|Иркутская область,город Братск, жилрайон Центральный,улица Обручева, дом 27А|ПН-ПТ 10:00-18:00, СБ-ВС выходной
8586/0277|2021-06-21 15:42:30|Иркутская область,город Братск, жилрайон Гидростроитель,улица Сосновая, дом 3Б|ПН-ПТ 09:00-18:00, СБ 09:30-14:00, ВС выходной
