Номер постамата|Дата ввода в эксплуатацию|Адрес постамата|Режим работы|Аренда
PS35|2020-03-31 00:00:00|Московская область,город Домодедово,улица Советская, дом 1|ПН-ПТ 09:00-19:00, СБ 09:00-16:00, ВС выходной|НЕТ
PS36|2020-03-31 00:00:00|г Москва, Таганский район ,улица Земляной Вал, дом 41 строение 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS38|2020-03-31 00:00:00|г Москва, район Якиманка,улица Шаболовка, дом 10 корпус 2|ПН-СБ 10:00-20:00, ВС выходной|НЕТ
PS39|2020-03-31 00:00:00|г Москва, район Замоскворечье,улица Новокузнецкая, дом 16-18/10 строение 3|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS40|2020-03-31 00:00:00|Ярославская область,город Ярославль,улица Советская, дом 34|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS42|2020-03-31 00:00:00|г Москва,улица Селезневская, дом 30 корпус Б-В|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS46|2020-03-31 00:00:00|г Москва,улица Саянская, дом 18|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS48|2020-03-31 00:00:00|г Москва, район Кузьминки, Волгоградский проспект , дом 119А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS49|2020-03-31 00:00:00|г Москва, район Выхино-Жулебино,улица Генерала Кузнецова, дом 28 корпус 1|ПН-ПТ 09:00-19:30, СБ 09:00-16:30, ВС выходной|НЕТ
PS52|2020-03-31 00:00:00|г Москва,улица Матвеевская, дом 2|ПН-ПТ 08:30-20:30, СБ 09:00-16:30, ВС выходной|НЕТ
PS53|2020-03-31 00:00:00|г Москва, район Щукино,улица Народного Ополчения, дом 39 корпус 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS55|2020-03-31 00:00:00|г Москва, Коровинское шоссе, дом 21 корпус 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS56|2020-03-31 00:00:00|г Москва,улица Римского-Корсакова, дом 2|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS9|2020-03-31 00:00:00|Хабаровский край,город Хабаровск,улица Гамарника, дом 12|ПН-ПТ 09:00-18:30, СБ-ВС выходной|НЕТ
PS163|2020-07-16 00:00:00|Астраханская область,город Астрахань,улица Космонавта Комарова, строение 65Г|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS169|2020-07-16 00:00:00|Волгоградская область,город Волжский, проспект имени Ленина, дом 120А|ПН-ПТ 08:30-17:30, СБ-ВС выходной|НЕТ
PS188|2020-07-16 00:00:00|Ростовская область,город Ростов-на-Дону, Буденновский проспект , дом 85|ПН-ПТ 08:30-19:00, СБ 08:30-15:30, ВС выходной|НЕТ
PS167|2020-07-23 00:00:00|Астраханская область,город Астрахань,улица Кубанская, дом 64|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS168|2020-07-23 00:00:00|Астраханская область,город Астрахань,улица Парковая, дом 27|ПН-ПТ 08:00-17:00, СБ-ВС выходной|НЕТ
PS194|2020-07-23 00:00:00|г Москва, Савеловский район , Петровско-Разумовский проезд, дом 24 корпус 2|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS202|2020-07-23 00:00:00|г Москва, район Соколиная Гора,улица Щербаковская, дом 53 строение 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS203|2020-07-23 00:00:00|г Москва, район Северное Измайлово, Сиреневый бульвар , дом 29/45 корпус 3|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS205|2020-07-23 00:00:00|г Москва, район Вешняки,улица Вешняковская, дом 18А|ПН-ВС 10:00-21:00|НЕТ
PS271|2020-07-23 00:00:00|г Москва, Можайское шоссе, дом 28|ПН-ПТ 09:00-19:00, СБ-ВС выходной|НЕТ
PS272|2020-07-23 00:00:00|г Москва,улица Демьяна Бедного, дом 5|ПН-ПТ 08:30-19:30, СБ 09:00-16:30, ВС выходной|НЕТ
PS279|2020-07-23 00:00:00|г Москва,улица Борисовские Пруды, дом 12 корпус 1|ПН-ПТ 10:30-20:00, СБ 11:00-17:00, ВС выходной|НЕТ
PS164|2020-07-24 00:00:00|Астраханская область,город Астрахань,улица Николая Островского, дом 152А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS195|2020-07-24 00:00:00|г Москва, Бескудниковский район , Дмитровское шоссе, дом 64 корпус 2|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS196|2020-07-24 00:00:00|г Москва, Дмитровское шоссе, дом 98|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS211|2020-07-24 00:00:00|г Москва, Ярославское шоссе, дом 28|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS216|2020-07-24 00:00:00|г Москва,улица Шипиловская, дом 32|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS286|2020-07-24 00:00:00|г Москва,улица Краснопрудная, дом 11|ПН-ПТ 08:30-20:30, СБ 09:00-17:00, ВС выходной|НЕТ
PS288|2020-07-24 00:00:00|г Москва, Сокольническая пл, дом 9|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS296|2020-07-24 00:00:00|г Москва,улица Смольная, дом 7|ПН-ПТ 08:30-19:30, СБ 09:00-16:00, ВС выходной|НЕТ
PS300|2020-07-24 00:00:00|г Москва,город Зеленоград, район Савелки, Савёлкинский проезд, дом 6|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS304|2020-07-24 00:00:00|г Москва,улица Нагатинская, дом 16|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
