Номер постамата|Дата ввода в эксплуатацию|Адрес постамата|Режим работы|Аренда
PS5137|2021-01-14 00:00:00|Ульяновская область, Тереньгульский район ,рабочий поселок Тереньга,улица 50 лет Победы, дом 7/10|ПН-ПТ 08:00-17:00, СБ 08:00-13:30, ВС выходной|НЕТ
PS5143|2021-01-14 00:00:00|Республика Башкортостан,город Кумертау,улица Ленина, дом 17|ПН-ПТ 09:00-18:00, СБ 09:00-15:00, ВС выходной|НЕТ
PS5145|2021-01-14 00:00:00|Республика Башкортостангород Кумертау улица Гафуридом 25|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS5147|2021-01-14 00:00:00|Самарская область, Красноярский район , пгт Волжский,улица Жилгородок, дом 15|ПН выходной, ВТ-ПТ 08:00-16:45, СБ 08:30-14:00, ВС выходной|НЕТ
PS2622|2021-01-15 00:00:00|Ростовская область, Тацинский район , поселок Жирнов,улица Крупской, дом 13|ПН выходной, ВТ-ПТ 08:00-16:15, СБ 08:00-12:15, ВС выходной|НЕТ
PS2913|2021-01-15 00:00:00|Московская область,город Сергиев Посад,город Хотьково,улица Михеенко, дом 14|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS3748|2021-01-15 00:00:00|Нижегородская область, Володарский район , поселок Новосмолинский,улица Танковая, дом 23|ПН 08:30-17:45, ВТ-СР выходной, ЧТ 08:30-17:45, ПТ-ВС выходной|НЕТ
PS3924|2021-01-15 00:00:00|Белгородская область, Корочанский район ,город Короча,улица Дорошенко, дом 9А|ПН-ПТ 08:00-16:15, СБ 08:00-12:15, ВС выходной|НЕТ
PS4212|2021-01-15 00:00:00|Белгородская область, Красногвардейский район , село Верхняя Покровка,улица Советская, дом 148А|ПН выходной, ВТ-СР 08:00-15:30, ЧТ выходной, ПТ 08:00-15:30, СБ-ВС выходной|НЕТ
PS4218|2021-01-15 00:00:00|Белгородская область, Красногвардейский район , село Стрелецкое,улица Калинина, дом 1|ПН-ВТ 08:00-15:45, СР выходной, ЧТ-ПТ 08:00-15:45, СБ-ВС выходной|НЕТ
PS4277|2021-01-15 00:00:00|Алтайский край, Шипуновский район , село Шипуново,улица Советская, дом 67|ПН-ПТ 08:30-16:45, СБ-ВС выходной|НЕТ
PS4479|2021-01-15 00:00:00|Пензенская область, Бессоновский район , село Кижеватово,улица Молодежная, дом 22|ПН-ЧТ 08:00-16:00, ПТ 08:00-13:45, СБ-ВС выходной|НЕТ
PS4723|2021-01-15 00:00:00|Пензенская область, Нижнеломовский район ,город Нижний Ломов,улица Ленина, строение 121/52|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS4822|2021-01-15 00:00:00|Республика Мордовия, Лямбирский район , село Большая Елховка,улица Фабричная, дом 21|ПН-ВТ 08:45-16:30, СР-ПТ 08:45-16:00, СБ-ВС выходной|НЕТ
PS4865|2021-01-15 00:00:00|Орловская область, Колпнянский район , пгт Колпна,улица Интернациональная, дом 2|ПН-ПТ 08:30-17:30, СБ-ВС выходной|НЕТ
PS4867|2021-01-15 00:00:00|Орловская область, Глазуновский район , пгт Глазуновка,улица Ленина, дом 63|ПН-ПТ 08:30-17:30, СБ-ВС выходной|НЕТ
PS4920|2021-01-15 00:00:00|Республика Мордовия, Инсарский район ,город Инсар,улица Московская, дом 91Б|ПН-ПТ 08:00-17:00, СБ-ВС выходной|НЕТ
PS4925|2021-01-15 00:00:00|Республика Мордовия,город Рузаевка,улица Ленина, дом 45|ПН-ПТ 08:30-18:00, СБ 08:30-15:00, ВС выходной|НЕТ
PS4977|2021-01-15 00:00:00|Республика Башкортостан, Белокатайский район , село Емаши,улица Кирова, дом 20|ПН-ПТ 08:45-16:45, СБ-ВС выходной|НЕТ
PS5009|2021-01-15 00:00:00|Воронежская область, Петропавловский район , село Красноселовка,улица Садовая, дом 55А|ПН-СР 08:00-15:00, ЧТ выходной, ПТ 08:00-15:00, СБ-ВС выходной|НЕТ
PS5040|2021-01-15 00:00:00|Оренбургская область, Оренбургский район , поселок Караванный,улица Советская, зд 7|ПН выходной, ВТ-ПТ 09:00-14:50, СБ 09:00-13:50, ВС выходной|НЕТ
PS5075|2021-01-15 00:00:00|Липецкая область, Воловский район , село Волово,улица Ленина, дом 1А|ПН-ПТ 08:00-16:15, СБ-ВС выходной|НЕТ
PS5077|2021-01-15 00:00:00|Липецкая область, Тербунский район , село Марьино-Николаевка,улица Центральная, зд 19|ПН-ВС - выходной|НЕТ
PS5079|2021-01-15 00:00:00|Воронежская область, Новоусманский район , село Орлово,улица Свободы, зд 68|ПН выходной, ВТ-ПТ 08:30-16:15, СБ 09:00-13:15, ВС выходной|НЕТ
PS5092|2021-01-15 00:00:00|Воронежская область, Новохоперский район , село Красное,площадь Революции, зд 2А|ПН-ПТ 08:20-14:35, СБ-ВС выходной|НЕТ
PS5097|2021-01-15 00:00:00|Республика Башкортостан, Иглинский район , село Тавтиманово,улица Крупской, дом 1|ПН-ПТ 09:30-16:45, СБ-ВС выходной|НЕТ
PS5100|2021-01-15 00:00:00|Республика Башкортостан, Гафурийский район , село Красноусольский,улица Коммунистическая, дом 12|ПН-ПТ 08:30-17:00, СБ-ВС выходной|НЕТ
PS5103|2021-01-15 00:00:00|Республика Башкортостан, Стерлибашевский район , село Стерлибашево,улица Карла Маркса, зд 90|ПН-ПТ 08:45-17:00, СБ-ВС выходной|НЕТ
PS5107|2021-01-15 00:00:00|Республика Башкортостан, Кармаскалинский район , село Кармаскалы,улица Кирова, дом 42|ПН-ПТ 08:15-17:15, СБ 09:00-12:00, ВС выходной|НЕТ
PS5108|2021-01-15 00:00:00|Республика Башкортостан, Кармаскалинский район , деревня Улукулево,улица К.Маркса, дом 78|ПН-ЧТ 08:45-16:45, ПТ 08:45-16:30, СБ-ВС выходной|НЕТ
PS5109|2021-01-15 00:00:00|Республика Башкортостан, Кармаскалинский район , село Прибельский,улица Пугачева, дом 1|ПН-ПТ 09:00-16:45, СБ-ВС выходной|НЕТ
PS5113|2021-01-15 00:00:00|Республика Башкортостан, Кугарчинский район , село Юмагузино,улица Школьная, дом 11|ПН-ПТ 08:45-16:45, СБ-ВС выходной|НЕТ
PS5114|2021-01-15 00:00:00|Республика Башкортостан,город Сибай,улица Белова, дом 40|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ
PS5116|2021-01-15 00:00:00|Республика Башкортостан,город Стерлитамак, проспект Ленина, дом 38|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS5139|2021-01-15 00:00:00|Ульяновская область, Инзенский район , село Оськино,площадь Труда, дом 16|ПН 08:00-17:45, ВТ выходной, СР 08:00-17:45, ЧТ-ВС выходной|НЕТ
PS5144|2021-01-15 00:00:00|Республика Башкортостан, Куюргазинский район , село Ермолаево,улица Советская, дом 116|ПН-ПТ 09:00-17:15, СБ-ВС выходной|НЕТ
PS4186|2021-01-16 00:00:00|Белгородская область, Вейделевский район , село Клименки,улица Центральная, дом 1|ПН 08:00-15:45, ВТ выходной, СР-ПТ 08:00-15:45, СБ-ВС выходной|НЕТ
PS4267|2021-01-16 00:00:00|Владимирская область, Камешковский район , село Второво,улица Советская, дом 22в|ПН выходной, ВТ 08:15-17:30, СР-ПТ выходной, СБ 08:45-15:15, ВС выходной|НЕТ
PS4415|2021-01-16 00:00:00|Белгородская область, Волоконовский район , село Староивановка,улица Новикова, дом 74|ПН-ЧТ выходной, ПТ 08:45-14:00, СБ-ВС выходной|НЕТ
PS4739|2021-01-16 00:00:00|Орловская область,город Орёл, Советский район ,улица Октябрьская, дом 134|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS5068|2021-01-16 00:00:00|Ростовская область,город Ростов-на-Дону, проспект Сельмаш, дом 94|ПН-ПТ 08:30-18:30, СБ 08:30-15:30, ВС выходной|НЕТ
PS5105|2021-01-16 00:00:00|Республика Башкортостан,город Сибай,улица Пионерская, зд 9А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS6606|2021-01-16 00:00:00|Астраханская область, Наримановский район ,город Нариманов,улица Центральная, 19|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2768|2021-01-17 00:00:00|Иркутская область, Слюдянский район ,город Байкальск, мкр Гагарина, дом 151В|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2770|2021-01-17 00:00:00|Иркутская область, Слюдянский район ,город Слюдянка,улица Ленина, дом 94|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS3813|2021-01-17 00:00:00|Амурская область, Ромненский район , село Ромны,улица Пионерская, дом 26А|ПН-ЧТ 08:15-16:15, ПТ 08:15-16:00, СБ-ВС выходной|НЕТ
PS3817|2021-01-17 00:00:00|Амурская область, Серышевский район , пгт Серышево,улица Горького, дом 14|ПН-ПТ 08:00-17:00, СБ-ВС выходной|НЕТ
PS3818|2021-01-17 00:00:00|Амурская область, Архаринский район , пгт Архара,улица Ленина, дом 107|ПН-ПТ 08:00-17:00, СБ-ВС выходной|НЕТ
PS3820|2021-01-17 00:00:00|Амурская область, Бурейский район , пгт Талакан, дом 17|ПН выходной, ВТ-ПТ 08:45-18:15, СБ 08:45-13:30, ВС выходной|НЕТ
PS3854|2021-01-17 00:00:00|Белгородская область, Новооскольский район , село Николаевка,улица Василия Мартыненко, дом 8|ПН 08:45-16:30, ВТ выходной, СР 08:45-16:30, ЧТ выходной, ПТ 08:45-16:30, СБ-ВС выходной|НЕТ
PS4064|2021-01-17 00:00:00|Вологодская область, Кирилловский район , село Талицы,улица Юбилейная, дом 8А|ПН-ПТ 09:00-16:30, СБ-ВС выходной|НЕТ
PS4318|2021-01-17 00:00:00|Белгородская область, Волоконовский район , село Покровка,улица Центральная, дом 54|ПН 08:45-16:15, ВТ-ЧТ выходной, ПТ 08:45-16:15, СБ-ВС выходной|НЕТ
PS4431|2021-01-17 00:00:00|Ставропольский край, Петровский район , село Донская Балка,улица Ленина, дом 112|ПН-ЧТ 08:00-16:00, ПТ 08:00-15:45, СБ-ВС выходной|НЕТ
PS4820|2021-01-17 00:00:00|Республика Мордовия,город Саранск,улица Веселовского, дом 45|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS4943|2021-01-17 00:00:00|Тамбовская область,город Кирсанов,улица 50 лет Победы, дом 29|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS5088|2021-01-17 00:00:00|Ростовская область, Усть-Донецкий район , хутор Пухляковский,улица Центральная, дом 31|ПН выходной, ВТ 08:30-17:00, СР-ЧТ выходной, ПТ 08:30-17:00, СБ-ВС выходной|НЕТ
PS5090|2021-01-17 00:00:00|Ростовская область,город Батайск,улица Ленина, дом 168В|ПН выходной, ВТ-ПТ 08:00-17:15, СБ 08:00-16:15, ВС выходной|НЕТ
PS1492|2021-01-18 00:00:00|Республика Хакасия,город Абакан,улица Чертыгашева, дом 102|ПН-ПТ 09:00-18:00, СБ 09:30-15:00, ВС выходной|НЕТ
PS3613|2021-01-18 00:00:00|Нижегородская область,город Бор, село Спасское (Линдовский с/с),улица Центральная, дом 20|ПН-ВС - выходной|НЕТ
PS3747|2021-01-18 00:00:00|Нижегородская область, Воротынский район , село Михайловское,улица Октябрьская, дом 1А|ПН-ВТ 08:00-14:30, СР выходной, ЧТ-ПТ 08:00-14:30, СБ-ВС выходной|НЕТ
PS4307|2021-01-18 00:00:00|Рязанская область, Касимовский район ,рабочий поселок Гусь-Железный, Первомайская пл, дом 17|ПН-ПТ 08:00-16:45, СБ-ВС выходной|НЕТ
PS4315|2021-01-18 00:00:00|Вологодская область, Верховажский район , село Чушевицы,улица Московская, дом 15|ПН-ЧТ 08:30-16:30, ПТ 08:15-16:00, СБ-ВС выходной|НЕТ
PS4414|2021-01-18 00:00:00|Смоленская область, Ершичский район , село Ершичи,улица Понятовская, дом 15|ПН-ПТ 08:30-16:45, СБ-ВС выходной|НЕТ
PS4442|2021-01-18 00:00:00|Ставропольский край,город Кисловодск,улица Горького, дом 24|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS461|2021-01-18 00:00:00|Пермский край,город Пермь, Кировский район ,улица Ласьвинская, дом 60 корпус а|ПН-ПТ 09:30-18:30, СБ-ВС выходной|НЕТ
PS4684|2021-01-18 00:00:00|Красноярский край, Каратузский район , село Каратузское,улица Советская, дом 44|ПН-ПТ 08:30-16:45, СБ-ВС выходной|НЕТ
PS4789|2021-01-18 00:00:00|Оренбургская область,город Оренбург, Центральный район ,улица Володарского, дом 16 строение 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS4840|2021-01-18 00:00:00|Оренбургская область, Бузулукский район , поселок Колтубановский,улица Папанина, зд 7|ПН-ЧТ 08:45-16:45, ПТ 08:45-16:30, СБ-ВС выходной|НЕТ
PS4875|2021-01-18 00:00:00|Кемеровская область - Кузбасс,город Киселевск,улица Промышленная, дом 3|ПН-ПТ 08:30-18:00, СБ 08:30-14:00, ВС выходной|НЕТ
PS4879|2021-01-18 00:00:00|Кемеровская область - Кузбасс,город Прокопьевск,улица Селиванова, дом 2|ПН-ВС 06:00-23:59|НЕТ
PS5003|2021-01-18 00:00:00|Костромская область, Кологривский район ,город Кологрив,улица Кирова, дом 1|ПН-ПТ 08:00-16:15, СБ-ВС выходной|НЕТ
PS5086|2021-01-18 00:00:00|Ростовская область,город Таганрог,улица Сергея Шило, дом 206|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS5102|2021-01-18 00:00:00|Республика Башкортостан, Архангельский район , село Архангельское,улица Ульяновых, дом 11|ПН-ПТ 08:30-16:45, СБ-ВС выходной|НЕТ
PS5138|2021-01-18 00:00:00|Ульяновская область, Инзенский район , село Коржевка,улица Центральная, дом 1/2|ПН выходной, ВТ-ЧТ 08:35-15:15, ПТ-ВС выходной|НЕТ
PS5146|2021-01-18 00:00:00|Самарская область,город Самара, Железнодорожный район ,улица Гагарина, дом 19|ПН-ПТ 09:00-18:30, СБ 09:00-14:00, ВС выходной|НЕТ
PS5152|2021-01-18 00:00:00|Самарская область,город Самара, поселок Красная Глинка,улица Жигули, дом 61|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ
PS5154|2021-01-18 00:00:00|Самарская область, Безенчукский район , пгт Осинки,улица Маяковского, дом 15|ПН-ПТ 08:15-16:00, СБ-ВС выходной|НЕТ
PS2326|2021-01-19 00:00:00|Краснодарский край, Туапсинский район , село Кривенковское,улица Зеленая, дом 6|ПН-ЧТ 08:40-16:10, ПТ 08:40-15:10, СБ-ВС выходной|НЕТ
PS2571|2021-01-19 00:00:00|Ростовская область, Октябрьский район ,рабочий поселок Каменоломни,улицаимени Крупской, дом 57|ПН-ПТ 08:00-16:30, СБ 08:00-14:00, ВС выходной|НЕТ
PS3819|2021-01-19 00:00:00|Амурская область, Мазановский район , село Новокиевский Увал,улица 40 лет Победы, дом 3|ПН-ЧТ 08:00-16:00, ПТ 08:00-15:45, СБ-ВС выходной|НЕТ
PS3953|2021-01-19 00:00:00|Удмуртская Респ,город Можга,улица Труда, дом 28|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS3957|2021-01-19 00:00:00|Удмуртская Респ, Вавожский район , село Вавож,улица Интернациональная, дом 44А|ПН-ПТ 08:30-16:45, СБ-ВС выходной|НЕТ
PS4054|2021-01-19 00:00:00|Смоленская область, Демидовский район ,город Демидов,улица Советская, дом 18А|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ
PS4096|2021-01-19 00:00:00|Удмуртская Респ, Алнашский район , село Алнаши, Пионерский пер, дом 3|ПН-ПТ 08:30-16:45, СБ-ВС выходной|НЕТ
PS4160|2021-01-19 00:00:00|Пензенская область, Белинский район , село Пичевка,улица Дружная, зд 13|ПН-ВТ 08:00-14:45, СР выходной, ЧТ 08:00-14:45, ПТ-ВС выходной|НЕТ
PS4213|2021-01-19 00:00:00|Тверская область,город Осташков, Ленинский проспект , дом 119А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS4377|2021-01-19 00:00:00|Кемеровская область - Кузбасс,город Междуреченск, проспект Шахтеров, дом 45|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ
PS4405|2021-01-19 00:00:00|Вологодская область, Бабаевский район , деревня Торопово,улица Восточная, дом 2|ПН выходной, ВТ-ЧТ 09:00-16:30, ПТ 09:30-17:00, СБ-ВС выходной|НЕТ
PS4407|2021-01-19 00:00:00|Вологодская область, Бабаевский район , село Борисово-Судское,площадь Советов, дом 7|ПН-ЧТ 08:30-16:30, ПТ 08:30-16:15, СБ-ВС выходной|НЕТ
PS4700|2021-01-19 00:00:00|Астраханская область, Володарский район , село Тумак,улица Школьная, дом 9|ПН-ВС - выходной|НЕТ
PS4707|2021-01-19 00:00:00|Астраханская область, Лиманский район , село Оля,улица Школьная, зд 83А|ПН-ЧТ 08:30-15:45, ПТ-ВС выходной|НЕТ
PS4744|2021-01-19 00:00:00|Костромская область, Чухломский район ,город Чухлома,улица Октября, дом 14|ПН-ПТ 08:00-17:00, СБ-ВС выходной|НЕТ
PS4842|2021-01-19 00:00:00|Орловская область, Ливенский район , село Коротыш,улица Молодежная, дом 5|ПН-ПТ 09:00-15:40, СБ-ВС выходной|НЕТ
PS4851|2021-01-19 00:00:00|Ростовская область, Шолоховский район , хутор Кружилинский,улица Школьная, дом 9|ПН-СР 09:00-16:00, ЧТ 09:00-15:45, ПТ-ВС выходной|НЕТ
PS4863|2021-01-19 00:00:00|Орловская область, Верховский район , село Русский Брод,улица Ливенская, дом 11А|ПН выходной, ВТ-СБ 09:00-16:15, ВС выходной|НЕТ
PS4912|2021-01-19 00:00:00|Пензенская область, Лопатинский район , село Лопатино,улица Пионерская, дом 37|ПН-ЧТ 08:15-16:30, ПТ 08:00-16:15, СБ-ВС выходной|НЕТ
PS4947|2021-01-19 00:00:00|Тамбовская область, Гавриловский район , село Пересыпкино 1-е,улица Гагарина, дом 17А|ПН-СР 08:30-15:30, ЧТ 08:30-15:15, ПТ-ВС выходной|НЕТ
PS4997|2021-01-19 00:00:00|Воронежская область, Петропавловский район , село Краснофлотское,улица Краснофлотская, дом 75А|ПН-ВТ 08:00-15:00, СР выходной, ЧТ-ПТ 08:00-15:00, СБ-ВС выходной|НЕТ
PS4999|2021-01-19 00:00:00|Тамбовская область, Староюрьевский район , село Новоюрьево,улица Бутырская, дом 11|ПН выходной, ВТ 08:00-16:30, СР выходной, ЧТ-ПТ 08:00-16:30, СБ-ВС выходной|НЕТ
PS5004|2021-01-19 00:00:00|Костромская область, Пыщугский район , село Пыщуг,улица Школьная, дом 2|ПН-ЧТ 08:30-16:15, ПТ 08:30-16:00, СБ-ВС выходной|НЕТ
PS5005|2021-01-19 00:00:00|Костромская область, Шарьинский район ,город Шарья,улица П.Морозова, дом 6|ПН-ПТ 08:30-18:00, СБ 09:00-14:00, ВС выходной|НЕТ
PS5007|2021-01-19 00:00:00|Костромская область, Межевской район , село Георгиевское,улица Колхозная, дом 6|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS5039|2021-01-19 00:00:00|Оренбургская область, Беляевский район , село Беляевка,улица Банковская, дом 11|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS5089|2021-01-19 00:00:00|Ростовская область, Аксайский район , хутор Верхнеподпольный,улица Школьная, дом 1|ПН выходной, ВТ-ПТ 08:00-16:00, СБ 07:30-15:15, ВС выходной|НЕТ
PS5136|2021-01-19 00:00:00|Ульяновская область, Инзенский район ,рабочий поселок Глотовка,улица Советская, дом 27|ПН выходной, ВТ-СБ 08:00-16:30, ВС выходной|НЕТ
PS5141|2021-01-19 00:00:00|Ульяновская область, Сурский район , село Кезьмино,улица Советская, дом 22|ПН выходной, ВТ 08:30-12:45, СР-ЧТ выходной, ПТ 08:30-12:45, СБ-ВС выходной|НЕТ
PS2967|2021-01-20 00:00:00|Иркутская область,город Нижнеудинск,улица Масловского, дом 11|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS3380|2021-01-20 00:00:00|Ростовская область, Матвеево-Курганский район , село Екатериновка,улица Первомайская, двлд 2|ПН выходной, ВТ 08:00-14:15, СР выходной, ЧТ-ПТ 08:00-14:15, СБ-ВС выходной|НЕТ
PS3502|2021-01-20 00:00:00|Ставропольский край, Андроповский район , поселок Новый Янкуль,улица Победы, дом 12|ПН 08:30-14:45, ВТ выходной, СР 08:30-14:45, ЧТ выходной, ПТ 08:30-14:45, СБ-ВС выходной|НЕТ
PS4276|2021-01-20 00:00:00|Алтайский край, Краснощёковский район , село Карпово Второе,улица Школьная, влд 12|ПН-ЧТ 09:00-15:00, ПТ-ВС выходной|НЕТ
PS4332|2021-01-20 00:00:00|Владимирская область, Муромский район , поселок Муромский,улица Центральная, дом 37|ПН выходной, ВТ-ЧТ 08:30-16:15, ПТ 08:30-16:00, СБ-ВС выходной|НЕТ
PS4521|2021-01-20 00:00:00|Кемеровская область - Кузбасс, Новокузнецкий район , село Атаманово,улица Школьная, дом 8А|ПН выходной, ВТ 08:45-15:30, СР выходной, ЧТ 08:45-15:30, ПТ выходной, СБ 08:45-14:15, ВС выходной|НЕТ
PS4648|2021-01-20 00:00:00|Вологодская область, Грязовецкий район , деревня Хорошево,улица Сосновая, дом 1|ПН выходной, ВТ-ПТ 08:30-15:30, СБ-ВС выходной|НЕТ
PS4760|2021-01-20 00:00:00|Кемеровская область - Кузбасс,город Калтан,улица Горького, дом 32|ПН-ПТ 08:30-18:00, СБ 09:00-14:30, ВС выходной|НЕТ
PS4772|2021-01-20 00:00:00|Оренбургская область,город Бугуруслан,улица Промысловая, дом 37|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS4775|2021-01-20 00:00:00|Оренбургская область,город Бугуруслан, Баймаковское шоссе, дом 22|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS4793|2021-01-20 00:00:00|Оренбургская область, Асекеевский район , село Асекеево,улица Чапаева, дом 24|ПН-ПТ 08:30-16:45, СБ-ВС выходной|НЕТ
PS4794|2021-01-20 00:00:00|Оренбургская область, Матвеевский район , село Матвеевка,улица Телеграфная, дом 87|ПН-ПТ 09:00-17:15, СБ-ВС выходной|НЕТ
PS4795|2021-01-20 00:00:00|Оренбургская область, Северный район , село Северное,улица Чапаева, дом 41|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS4849|2021-01-20 00:00:00|Ростовская область, Верхнедонской район , станица Шумилинская,улица Ленина, дом 6|ПН-ВТ 09:00-13:30, СР-ВС выходной|НЕТ
PS4852|2021-01-20 00:00:00|Ростовская область, Шолоховский район , хутор Меркуловский, пер Победы, влд 14|ПН выходной, ВТ 08:00-17:15, СР-ВС выходной|НЕТ
PS4853|2021-01-20 00:00:00|Ростовская область, Верхнедонской район , станица Казанская,улица Тимирязева, зд 36А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS4926|2021-01-20 00:00:00|Оренбургская область, Тюльганский район , поселок Тюльган,улица Октябрьская, дом 17|ПН-ПТ 09:00-17:00, СБ-ВС выходной|НЕТ
PS4945|2021-01-20 00:00:00|Тамбовская область, Гавриловский район , село Гавриловка 2-я,улица Советская, дом 27|ПН-ПТ 08:15-16:30, СБ-ВС выходной|НЕТ
PS5037|2021-01-20 00:00:00|Оренбургская область,город Гай,улица Декабристов, дом 6|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ
PS5132|2021-01-20 00:00:00|Оренбургская область, Соль-Илецкий район , село Буранное,улица Кооперативная, дом 26А|ПН 09:00-16:15, ВТ выходной, СР 09:00-16:15, ЧТ выходной, ПТ 09:00-13:45, СБ-ВС выходной|НЕТ
PS5133|2021-01-20 00:00:00|Оренбургская область, Акбулакский район , село Сагарчин,улица Пролетарская, дом 2|ПН-ВС - выходной|НЕТ
PS5134|2021-01-20 00:00:00|Оренбургская область, Пономаревский район , село Пономаревка,улица Советская, дом 26|ПН-ПТ 09:00-17:00, СБ-ВС выходной|НЕТ
PS5135|2021-01-20 00:00:00|Оренбургская область, Абдулинский район ,город Абдулино,улица Коммунистическая, дом 286|ПН-ПТ 08:30-16:45, СБ 09:00-13:45, ВС выходной|НЕТ
PS1405|2021-01-21 00:00:00|Саратовская область,город Саратов, Кировский район , проспект имени 50 лет Октября, дом 58|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS3833|2021-01-21 00:00:00|Белгородская область, Волоконовский район , село Борисовка,улица Первомайская, дом 9/2|ПН выходной, ВТ 08:45-16:00, СР выходной, ЧТ 08:45-16:00, ПТ-ВС выходной|НЕТ
PS3944|2021-01-21 00:00:00|Калужская область, Жуковский район , село Высокиничи,улица Ленина, дом 3|ПН 09:30-17:45, ВТ-СР выходной, ЧТ 09:30-17:45, ПТ-ВС выходной|НЕТ
PS3990|2021-01-21 00:00:00|Удмуртская Респ, Камбарский район , село Кама,улица Речников, дом 10|ПН-СР 08:30-16:00, ЧТ 08:15-15:45, ПТ-ВС выходной|НЕТ
PS4035|2021-01-21 00:00:00|г Санкт-Петербург, Московский район ,улица Типанова, дом 27/39|ПН-ВС 10:00-22:00|НЕТ
PS4103|2021-01-21 00:00:00|Удмуртская Респ, Селтинский район , село Селты,улица Юбилейная, дом 11|ПН-ПТ 08:00-16:15, СБ-ВС выходной|НЕТ
PS4314|2021-01-21 00:00:00|Вологодская область, Никольский район , поселок Борок,улица Советская, дом 19А|ПН-ВТ выходной, СР-ЧТ 08:15-15:45, ПТ-ВС выходной|НЕТ
PS4362|2021-01-21 00:00:00|Пензенская область, Сердобский район , село Пригородное,улица Орловка, дом 3|ПН-ВТ выходной, СР-ПТ 08:00-16:15, СБ 08:30-13:45, ВС выходной|НЕТ
PS4370|2021-01-21 00:00:00|Пензенская область, Белинский район , село Пушанино,улица Пригородная, зд 162|ПН-ЧТ 08:00-15:15, ПТ-ВС выходной|НЕТ
PS4428|2021-01-21 00:00:00|обл. Вологодская, район . Никольский,город Никольск, улица Маршала Конева,дом , 133, строение, Б|ПН-ПТ 08:00-17:00, СБ-ВС выходной|НЕТ
PS4455|2021-01-21 00:00:00|Красноярский край, Шушенский район , пгт Шушенское, мкр 3-й, дом 8|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной|НЕТ
PS4484|2021-01-21 00:00:00|Пензенская область, Пензенский район , ж/д_ст Леонидовка,улица Школьная, дом 48|ПН-ЧТ 08:00-17:15, ПТ-ВС выходной|НЕТ
PS4656|2021-01-21 00:00:00|Владимирская область, Юрьев-Польский район , село Сима, Торговая пл, дом 4|ПН выходной, ВТ 08:00-15:00, СР выходной, ЧТ-ПТ 08:00-15:00, СБ-ВС выходной|НЕТ
PS4667|2021-01-21 00:00:00|Брянская область, Жирятинский район , село Жирятино,улица Мира, дом 15|ПН-ВТ 09:30-16:00, СР 09:30-15:00, ЧТ-ПТ 09:30-16:00, СБ-ВС выходной|НЕТ
PS4704|2021-01-21 00:00:00|Астраханская область, Лиманский район , село Зензели,улица Железнодорожная, дом 9|ПН-ПТ 08:30-16:15, СБ-ВС выходной|НЕТ
