Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Режим работы ВСП/ПВЗ|Точность|Широта|Долгота|Адрес
8592/0723|2021-02-24 17:08:50|ПН-ПТ 08:00-16:15, СБ 08:00-12:15, ВС выходной|95.92|50.81056999546036|37.19638999420982|Белгородская область,город Короча,улица Дорошенко, дом 9А
8592/08592|2021-02-01 14:11:51|ПН-ПТ 09:00-18:00, СБ 09:30-14:30, ВС выходной|100.0|50.59530998142219|36.59156996598074|г Белгород, проспект Гражданский, дом 52
8593/01|2021-02-01 14:11:48|ПН-СБ 09:00-21:00, ВС выходной|100.0|52.61449000454252|39.60034002531336|г Липецк,улица Желябова, дом 17
8593/0100|2021-06-21 15:41:13|ПН-ПТ 08:30-17:30, СБ-ВС выходной|95.45|52.49151998315543|39.96500000355999|Липецкая область,город Грязи,улица Советская, дом 67
8593/0104|2021-10-27 09:11:31|ПН-ПТ 08:30-17:30, СБ-ВС выходной|90.77|52.49543001525822|39.93926999156329|Липецкая область,город Грязи,улица Толстовская, дом 2 корпус а
8593/0105|2021-05-12 12:42:36|ПН-ПТ 08:30-19:00, СБ 09:00-14:00, ВС 09:00-13:30|89.79|52.5841100060307|39.51936002798348|г Липецк,улица А.Г. Стаханова, дом 41
8593/0107|2021-06-21 15:42:35|ПН-ПТ 08:30-18:00, СБ 09:00-13:30, ВС выходной|100.0|52.63579001307292|39.66408004037294|г Липецк,площадь Заводская, дом 8
8593/0108|2021-05-12 12:42:36|ПН-ПТ 08:30-18:30, СБ 09:00-13:30, ВС выходной|100.0|52.60198998851794|39.57224003019383|г Липецк, проспект Победы, дом 2
8593/0113|2021-09-21 12:27:14|ПН-ПТ 09:00-18:30, СБ 09:00-13:30, ВС выходной|85.0|52.5900694834142|39.5261239358522|г Липецк, проспект Имени 60-летия СССР, дом 2Б
8593/019|2020-09-28 03:14:25|ПН-ПТ 09:00-18:00, СБ 08:30-14:30, ВС выходной|93.85|52.59108999399052|39.61616002936668|г Липецк,площадь Мира, дом 2, кв 2А
8593/0200|2021-03-30 18:30:22|ПН-ПТ 08:00-17:00, СБ-ВС выходной|95.74|53.24666001519498|39.13134002086304|Липецкая область,город Данков,улица Карла Маркса, дом 35
8593/0204|2021-12-13 14:19:30|ПН-ПТ 08:30-17:30, СБ 09:00-12:30, ВС выходной|95.12|53.25132999254919|39.15997000372036|Липецкая область,город Данков,улица Ленина, дом 9
8593/0208|2021-03-30 18:30:21|ПН-ПТ 08:30-17:00, СБ-ВС выходной|99.09|53.21065999251354|39.45382997368176|Липецкая область, п Лев Толстой,улица М.Горького, дом 1
8593/0213|2021-03-22 12:52:18|ПН-ПТ 08:00-17:00, СБ 08:00-13:00, ВС выходной|95.83|53.24932998663249|39.96060998177185|Липецкая область,город Чаплыгин,улица Московская, дом 30
8593/022|2021-10-27 09:13:35|ПН-ПТ 08:30-18:00, СБ 09:00-14:00, ВС выходной|100.0|52.54362998183055|39.57762003856601|г Липецк,улица 6-й Гвардейской дивизии, дом 4
8593/028|2021-05-12 12:42:36|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной|100.0|52.64372000593866|39.65420003964294|г Липецк,улица Ушинского, дом 9
8593/03|2021-10-27 09:13:35|ПН-ПТ 08:30-18:30, СБ 08:30-14:00, ВС выходной|100.0|52.58266999506515|39.48036003833653|г Липецк,улица Ангарская, дом 3
8593/0300|2021-03-30 18:30:22|ПН-ПТ 08:00-17:00, СБ-ВС выходной|95.65|52.38836000319029|38.91742999615028|Липецкая область,город Задонск,улица Советская, дом 15
8593/0308|2021-03-22 12:52:18|ПН-ПТ 08:00-16:00, СБ-ВС выходной|97.98|52.19559001838584|39.09209997350914|Липецкая область, с Хлевное,улица Ленинская, дом 8А
8593/0400|2021-03-22 12:52:18|ПН-ПТ 08:00-17:00, СБ 08:00-13:00, ВС выходной|95.65|53.00922999298629|39.13066997152319|Липецкая область,город Лебедянь,улица Почтовая, дом 23
8593/0407|2021-02-24 17:08:33|ПН-ПТ 08:00-16:15, СБ-ВС выходной|97.98|52.8631599912714|38.79427997339249|Липецкая область, с Красное,улица Первомайская, дом 13А
8593/0411|2021-08-17 12:37:27|ПН-ПТ 08:00-16:00, СБ 08:30-13:00, ВС выходной|97.98|52.85882000944522|39.83236996449176|Липецкая область, с Доброе,площадь Октябрьская, дом 12
8593/0424|2022-11-14 14:41:08|ПН выходной, ВТ-ПТ 08:30-17:50, СБ 08:30-14:00, ВС выходной|95.65|53.02785111672046|39.17272261320691|Липецкая область,город Лебедянь,улица Школьная, дом 3А
8593/043|2022-11-14 14:41:11|ПН выходной, ВТ-ПТ 08:30-16:45, СБ 08:30-14:30, ВС выходной|96.11|52.45849595785911|39.36975963448748|Липецкая область, Липецкий район , с Боринское,улица Кирова, дом 10
8593/044|2022-11-14 14:41:08|ПН выходной, ВТ-ПТ 09:00-18:00, СБ 09:00-15:45, ВС выходной|97.48|52.53149998492165|39.74819998245138|г Липецк,улица Писарева Д., дом 22
8593/047|2020-09-28 03:14:25|ПН-ПТ 08:30-18:00, СБ 09:00-13:00, ВС выходной|98.52|52.61913999105764|39.55006000564902|г Липецк,улица Гагарина, дом 161/1
8593/050|2020-12-24 14:56:44|ПН-ПТ 08:30-18:30, СБ-ВС 09:00-14:00|100.0|52.60551998513077|39.53981002771286|г Липецк,улица Космонавтов, дом 110А
8593/0500|2021-03-22 12:52:18|ПН-ПТ 08:30-16:30, СБ 08:30-11:00, ВС выходной|97.98|52.14768999821865|38.28506996775283|Липецкая область, с Тербуны,улица Октябрьская, дом 45
8593/0510|2021-09-21 12:27:14|ПН-ПТ 08:00-16:15, СБ-ВС выходной|97.98|52.025289988157|37.88714003650804|Липецкая область, с Волово,улица Ленина, дом 1А
8593/0515|2021-10-27 09:13:35|ПН-ПТ 08:30-16:45, СБ-ВС выходной|97.98|52.32599001020472|38.36120002826732|Липецкая область, с Долгоруково,улица Советская, дом 1
8593/055|2021-08-17 12:37:27|ПН-ПТ 08:30-19:00, СБ 09:00-14:00, ВС выходной|100.0|52.59527000719461|39.56275003941857|г Липецк,улица Доватора, дом 1
8593/056|2022-11-14 14:41:11|ПН-ПТ 09:00-18:00, СБ-ВС выходной|100.0|52.52852998325997|39.80249996287864|г Липецк,улица Моршанская, дом 4
8593/060|2021-02-01 14:11:48|ПН-ПТ 08:30-18:30, СБ 08:30-14:30, ВС выходной|100.0|52.61603001161293|39.56610003466071|г Липецк,улица Космонавтов, дом 9
8593/0600|2021-03-22 12:52:18|ПН-ПТ 08:00-17:00, СБ 08:00-13:00, ВС выходной|95.92|52.04529000541442|39.7360599691682|Липецкая область,город Усмань,улица Комсомольская, дом 18
8593/062|2020-09-28 03:14:25|ПН-ПТ 08:30-18:00, СБ 08:30-15:00, ВС выходной|100.0|52.59494998613138|39.5470600386835|г Липецк, мкр 15-й, дом 8
8593/0627|2021-08-17 12:37:27|ПН-ПТ 08:00-16:15, СБ-ВС выходной|99.05|52.16288999289409|40.4727799726989|Липецкая область, п Добринка,улица Советская, дом 4
8593/064|2022-11-14 14:41:11|ПН-ПТ 09:00-18:00, СБ 09:00-16:00, ВС выходной|100.0|52.63290999114184|39.54186996423726|г Липецк,улица Опытная, дом 17
8593/067|2021-09-21 12:27:14|ПН-ПТ 09:00-18:30, СБ 09:00-13:30, ВС выходной|100.0|52.60180001268247|39.51654999494392|г Липецк,улица Московская, дом 103
8593/069|2021-06-21 15:42:35|ПН-ПТ 09:00-18:30, СБ 09:00-14:00, ВС выходной|89.79|52.5912199973088|39.53181997851087|г Липецк,улица А.Г. Стаханова, дом 25
8593/070|2021-02-01 14:11:48|ПН-ПТ 08:30-17:30, СБ 09:00-13:00, ВС выходной|100.0|52.60303998952872|39.58114001880452|г Липецк,улица Первомайская, дом 66
8593/0700|2021-06-07 13:59:22|ПН-ПТ 08:30-17:30, СБ 08:30-14:30, ВС выходной|95.74|52.62435998889822|38.49169997428157|Липецкая область,город Елец,улица Комсомольская, дом 81
8593/0702|2021-03-22 12:52:18|ПН-ПТ 08:30-17:30, СБ 09:00-13:00, ВС выходной|95.74|52.61350001795847|38.52261997690547|Липецкая область,город Елец,улица Орджоникидзе, дом 15В
8593/071|2021-10-27 09:13:35|ПН-ПТ 08:30-18:00, СБ 09:00-15:00, ВС выходной|100.0|52.54160001061001|39.58504003453302|г Липецк,улица Ленинградская, дом 1А
8593/0715|2021-09-21 12:27:14|ПН-ПТ 09:00-18:00, СБ-ВС выходной|95.45|52.62896999373518|38.47061001624473|Липецкая область,город Елец,улица Коммунаров, дом 66
8593/0716|2021-09-21 12:27:14|ПН-ПТ 08:30-16:45, СБ-ВС выходной|98.03|52.7621487003652|38.36015083760523|Липецкая область, с Становое,улица 50 лет Октября, дом 22
8593/0721|2021-08-17 12:37:27|ПН-ПТ 08:00-16:15, СБ-ВС выходной|97.98|52.68737999847502|37.95757995823286|Липецкая область, с Измалково,улица Ленина, дом 7
8593/0726|2021-03-22 12:52:18|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной|95.92|52.61084999545051|38.47409001480511|Липецкая область,город Елец,улица Радиотехническая, дом 5
8593/073|2020-09-28 03:14:25|ПН-ВС 09:00-21:00|100.0|52.59113999204297|39.52057003952589|г Липецк, бульвар Шубина, дом 12
8593/08593|2020-12-24 14:56:44|ПН-ПТ 09:00-18:00, СБ-ВС выходной|100.0|52.6039299800079|39.5987400038162|г Липецк,улица Первомайская, дом 2
8593/087|2020-09-28 03:14:25|ПН-ПТ 09:00-18:30, СБ 09:00-14:00, ВС выходной|100.0|52.59945999486348|39.5855000333793|г Липецк,площадь Торговая, дом 2
8593/089|2021-10-27 09:13:35|ПН-ПТ 08:30-18:00, СБ 09:00-13:00, ВС выходной|100.0|52.62189998413524|39.55939996035741|г Липецк,улица Гагарина, дом 131А
8593/090|2021-02-01 14:11:48|ПН-ПТ 08:30-18:30, СБ 09:00-14:00, ВС выходной|100.0|52.57762999859528|39.62155998666844|г Липецк, проспект Мира, дом 29
8593/092|2020-09-28 03:14:25|ПН-СР 09:00-18:00, ЧТ 09:30-18:00, ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной|98.57|52.61674000072142|39.57940001952434|г Липецк,улица Космонавтов, дом 5/6
8593/093|2021-05-12 12:42:36|ПН-ПТ 08:30-17:30, СБ 08:30-13:30, ВС выходной|95.56|52.49553998582789|39.95174997483926|Липецкая область,город Грязи,улица Воровского, дом 20
8594/0100|2020-12-24 14:56:44|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной|100.0|52.74329001677376|41.4257300279223|г Тамбов,улица Мичуринская, дом 88
8594/0101|2020-09-28 03:14:23|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной|100.0|52.76394000871289|41.41080998881293|г Тамбов,улица Магистральная, дом 12А
8594/0109|2021-10-27 09:13:35|ПН-ПТ 08:00-17:00, СБ-ВС выходной|95.41|52.87717998161781|40.7940900050076|Тамбовская область,рабочий поселок Дмитриевка,улица Центральная, дом 3
8594/0119|2021-05-12 12:42:36|ПН-ПТ 08:30-17:00, СБ 08:30-14:00, ВС выходной|95.56|52.58660999247181|41.49834002437925|Тамбовская область,город Котовск,улица Свободы, дом 6
8594/014|2021-06-21 15:42:35|ПН-ПТ 09:00-18:00, СБ 09:00-14:30, ВС выходной|100.0|52.74119001475219|41.45039000615961|г Тамбов,улица Советская, дом 180
8594/0200|2021-02-24 17:08:53|ПН-ПТ 08:15-17:15, СБ-ВС выходной|95.2|51.84890069762006|41.46272176988554|Тамбовская область,город Жердевка,улица Первомайская, дом 130А
8594/0208|2021-06-21 15:42:34|ПН-ПТ 08:00-17:00, СБ-ВС выходной|94.91|51.99045999533985|41.16025000864653|Тамбовская область,рабочий поселок Токаревка,улица Ленина, дом 3
8594/024|2021-10-27 09:13:35|ПН-ПТ 09:00-17:30, СБ 09:00-14:00, ВС выходной|100.0|52.67577001483915|41.46366995827466|г Тамбов,улица Астраханская, дом 187А
8594/0300|2021-05-12 12:42:36|ПН-ПТ 08:30-17:30, СБ-ВС выходной|87.03|53.44773998644564|41.81954000229925|Тамбовская область,город Моршанск,улица Интернациональная, строение 85
8594/0302|2021-10-27 09:25:49|ПН выходной, ВТ-ПТ 08:15-17:15, СБ 08:30-17:00, ВС выходной|85.31|53.4430201532362|41.81730277929599|Тамбовская область,город Моршанск,улица Ленина, строение 21
8594/0330|2021-02-24 17:08:34|ПН-ПТ 08:00-17:00, СБ-ВС выходной|94.15|53.2322327008734|41.36595431851477|Тамбовская область,рабочий поселок Сосновка,улица Вокзальная, дом 12
8594/03926|2021-12-13 14:19:30|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной|100.0|52.75419998576595|41.40942001780934|г Тамбов,улица Мичуринская, дом 128В
8594/04|2021-12-13 14:19:30|ПН-ВТ 09:00-19:00, СР 09:00-18:00, ЧТ-ПТ 09:00-19:00, СБ 09:00-14:00, ВС выходной|96.61|52.70899972949366|41.4681336964799|г Тамбов,улица Фридриха Энгельса, дом 21/29
8594/0400|2021-02-24 17:08:45|ПН-ПТ 08:30-17:30, СБ 08:30-14:00, ВС выходной|95.92|52.65790998128145|41.87839998951108|Тамбовская область,город Рассказово,улица Пушкина, дом 20
8594/0413|2021-05-12 12:42:36|ПН-ПТ 08:00-17:00, СБ-ВС выходной|96.08|52.65269999981518|42.72580000698838|Тамбовская область,город Кирсанов,улица 50 лет Победы, дом 29
8594/042|2021-05-12 12:42:36|ПН-ПТ 09:00-19:00, СБ 09:00-15:00, ВС выходной|100.0|52.76781001722804|41.40339996731066|г Тамбов,улица Чичерина, дом 44В
8594/0425|2021-10-27 09:13:35|ПН-ПТ 08:15-16:30, СБ-ВС выходной|98.29|52.87743998825431|42.77050002607075|Тамбовская область, с Гавриловка 2-я,улица Советская, дом 27
8594/0500|2021-05-12 12:42:36|ПН-СР 08:30-17:30, ЧТ 08:30-16:00, ПТ 08:30-17:30, СБ-ВС выходной|94.9|51.98611547976557|42.25922252783256|Тамбовская область,город Уварово,улица Октябрьская, дом 60
8594/0503|2021-09-21 12:27:14|ПН выходной, ВТ-ПТ 08:00-17:00, СБ 08:00-15:00, ВС выходной|86.27|52.64258728093389|42.7732955975792|Тамбовская область,город Уварово, мкр 1, дом 1А
8594/0505|2021-02-24 17:08:35|ПН-ПТ 08:00-17:00, СБ-ВС выходной|95.17|52.31949001193024|42.49536003102332|Тамбовская область,рабочий поселок Инжавино,улица Советская, дом 24
8594/0512|2021-10-27 09:13:35|ПН-ПТ 08:00-17:00, СБ-ВС выходной|86.09|51.84657000091232|42.46360996852798|Тамбовская область,рабочий поселок Мучкапский,улица Красная, строение 111
8594/0520|2021-10-27 09:13:35|ПН-ПТ 08:00-17:00, СБ-ВС выходной|94.07|52.13469038976097|42.02407764046655|Тамбовская область,рабочий поселок Ржакса,улица Первомайская, дом 4
8594/060|2021-05-12 12:42:36|ПН-ПТ 08:30-17:30, СБ 08:30-13:00, ВС выходной|93.74|52.65378998250412|41.44612001322494|Тамбовская область, Тамбовский район , п Строитель,улица Придорожная, строение 20
8594/0600|2021-06-21 15:42:34|ПН-ПТ 08:30-17:30, СБ 08:30-13:30, ВС выходной|95.56|52.89177999966395|40.49308999464526|Тамбовская область,город Мичуринск, ш Липецкое, дом 55
8594/0603|2022-11-14 14:41:09|ПН-ПТ 08:00-17:00, СБ-ВС выходной|94.18|52.95422999791532|40.48876996174863|Тамбовская область,город Мичуринск, мкр Кочетовка,улица 7 Ноября, дом 11А
8594/0604|2021-02-24 17:08:48|ПН-ПТ 08:30-16:45, СБ 08:30-13:15, ВС выходной|96.08|52.89389001805981|40.50533000403331|Тамбовская область,город Мичуринск,улица Украинская, дом 56
8594/0606|2021-02-24 17:08:48|ПН-ПТ 08:30-16:45, СБ 09:00-13:45, ВС выходной|95.56|52.89233727588694|40.4801019908879|Тамбовская область,город Мичуринск, ш Липецкое, дом 68
8594/0607|2021-09-21 12:27:14|ПН-ПТ 08:30-17:30, СБ 08:30-13:30, ВС выходной|96.08|52.89086000197142|40.51167996624096|Тамбовская область,город Мичуринск,улица Советская, дом 335
8594/0617|2021-02-24 17:08:33|ПН-ПТ 08:30-16:00, СБ-ВС выходной|98.29|52.63519901474336|40.25129347738817|Тамбовская область, с Петровское,улица Интернациональная, дом 24А
8594/0621|2021-06-21 15:42:34|ПН-ПТ 08:00-16:15, СБ-ВС выходной|98.29|53.32203864073558|40.70186722431982|Тамбовская область, с Староюрьево,улица Кооперативная, дом 6А
