Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Адрес ВСП/ПВЗ|Режим работы ВСП/ПВЗ|Точность|Широта|Долгота
8592/0700|2021-02-24 17:08:38|Белгородская область,город Шебекино,улица Ленина, дом 71|ПН-ПТ 08:30-17:30, СБ 08:30-13:30, ВС выходной|95.83|50.3963199958188|36.87549000460444
8593/0700|2021-06-07 13:59:22|Липецкая область,город Елец,улица Комсомольская, дом 81|ПН-ПТ 08:30-17:30, СБ 08:30-14:30, ВС выходной|95.74|52.62435998889822|38.49169997428157
8593/0702|2021-03-22 12:52:18|Липецкая область,город Елец,улица Орджоникидзе, дом 15В|ПН-ПТ 08:30-17:30, СБ 09:00-13:00, ВС выходной|95.74|52.61350001795847|38.52261997690547
8593/0726|2021-03-22 12:52:18|Липецкая область,город Елец,улица Радиотехническая, дом 5|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной|95.92|52.61084999545051|38.47409001480511
8594/0119|2021-05-12 12:42:36|Тамбовская область,город Котовск,улица Свободы, дом 6|ПН-ПТ 08:30-17:00, СБ 08:30-14:00, ВС выходной|95.56|52.58660999247181|41.49834002437925
8594/0400|2021-02-24 17:08:45|Тамбовская область,город Рассказово,улица Пушкина, дом 20|ПН-ПТ 08:30-17:30, СБ 08:30-14:00, ВС выходной|95.92|52.65790998128145|41.87839998951108
8594/0413|2021-05-12 12:42:36|Тамбовская область,город Кирсанов,улица 50 лет Победы, дом 29|ПН-ПТ 08:00-17:00, СБ-ВС выходной|96.08|52.65269999981518|42.72580000698838
8594/0500|2021-05-12 12:42:36|Тамбовская область,город Уварово,улица Октябрьская, дом 60|ПН-СР 08:30-17:30, ЧТ 08:30-16:00, ПТ 08:30-17:30, СБ-ВС выходной|94.9|51.98611547976557|42.25922252783256
8594/0603|2022-11-14 14:41:09|Тамбовская область,город Мичуринск, мкр Кочетовка,улица 7 Ноября, дом 11А|ПН-ПТ 08:00-17:00, СБ-ВС выходной|94.18|52.95422999791532|40.48876996174863
8594/0604|2021-02-24 17:08:48|Тамбовская область,город Мичуринск,улица Украинская, дом 56|ПН-ПТ 08:30-16:45, СБ 08:30-13:15, ВС выходной|96.08|52.89389001805981|40.50533000403331
8595/0200|2021-06-07 13:59:22|Орловская область,город Ливны,улица Свердлова, дом 39|ПН-ПТ 08:30-18:00, СБ 08:30-13:30, ВС выходной|95.56|52.4222699983149|37.6104600343902
8595/0217|2021-02-24 17:08:49|Орловская область,город Ливны,улица Победы, дом 5|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной|95.12|52.40685002059064|37.56835002338903
8595/0308|2021-10-27 09:13:34|Орловская область,город Мценск,улица Машиностроителей, дом 2|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.15|53.29024000246554|36.59548003999305
8596/0113|2021-02-24 17:08:49|Курская область,город Курчатов,улица Энергетиков, влд 10|ПН-ПТ 08:30-18:00, СБ 09:00-14:00, ВС выходной|92.4|51.65782001878034|35.67341998018017
8596/0200|2021-02-24 17:08:53|Курская область,город Железногорск,улица Гайдара, дом 5|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной|95.74|52.34081001129971|35.35250004164524
8596/0500|2021-02-24 17:08:38|Курская область,город Щигры,улица Луначарского, дом 5|ПН-ПТ 08:30-17:30, СБ 09:00-13:30, ВС выходной|95.56|51.87570998066838|36.90881997202933
