ID точки|Адрес|Тип Пункта|Название пункта приема/выдачи|Время работы|Широта|Долгота
5501-004|город Омск,Омская обл., 70 лет Октября ул., д. 19|Постамат|Постамат: PickPoint: 5501-004: ТК Festival City|Ежедневно: 10-21|54.980902|73.320978
2405-168|город Красноярск,Красноярский край, Академика Киренского ул., д. 22|Постамат|Постамат: PickPoint: 2405-168: Русский Разгуляйка|Ежедневно: 8-23|55.993036|92.797209
3901-029|город Калининград,Калининградская обл., Каштановая Аллея ул., 97|Постамат|Постамат: PickPoint: 3901-029: SPAR|Ежедневно: 8-23|54.72659|20.463676
7701-981|город Москва,Московская обл., Открытое шоссе, д. 4, стр. 1|Постамат|Постамат: PickPoint: 7701-981: РЦ Место встречи Янтарь|Ежедневно: 9-23|55.80909|37.72997
1295-007|город Медведево,Марий Эл респ., Терешковой ул., д. 19|Постамат|Постамат: Халва: 1295-007: Магнит Косметик|Ежедневно: 9-20:30|56.629834|47.814704
1805-075|город Ижевск,Удмуртская респ., Широкий пер., д. 53|Постамат|Постамат: Халва: 1805-075: ТРЦ Сигма|Ежедневно: 10-21|56.857436|53.211293
7205-062|город Тюмень,Тюменская обл., Велижанская ул., д. 68|Постамат|Постамат: Халва: 7205-062: Магнит Косметик|Ежедневно: 10-22|57.190563|65.581723
2635-009|город Ессентуки,Ставропольский край, Октябрьская ул., д. 422А|Постамат|Постамат: Халва: 2635-009: Магнит Косметик|Ежедневно: 9-21|44.046593|42.887979
5905-100|город Пермь,Пермский край, Генерала Черняховского ул., д. 49|Постамат|Постамат: Халва: 5905-100: Магнит Косметик|Пн-Пт: 9-20; Сб: 9-16; Вс: 10-16|58.084706|56.406007
5615-023|город Орск,Оренбургская обл., Беляева ул., д. 1|Постамат|Постамат: Халва: 5615-023: Магнит Косметик|Ежедневно: 9-21|51.257458|58.433056
5615-022|город Орск,Оренбургская обл., Краматорская ул., д. 8А/18|Постамат|Постамат: Халва: 5615-022: Магнит Косметик|Ежедневно: 9-21:30|51.224049|58.495539
5005-631|город Зарайск,Московская обл., 1-й мкр., д. 35|Постамат|Постамат: Халва: 5005-631: Магнит Косметик|Ежедневно: 9-21|54.755721|38.887341
7415-042|город Магнитогорск,Челябинская обл., Ленина пр-кт, д. 145|Постамат|Постамат: Халва: 7415-042: Магнит Косметик|Ежедневно: 9:30-21|53.36217|58.991545
7415-040|город Магнитогорск,Челябинская обл., Ворошилова ул., д. 10|Постамат|Постамат: Халва: 7415-040: Магнит Косметик|Ежедневно: 10-21|53.374055|58.980977
